,boardNames,pupularities,timestamp
76,forsale,122,2019-08-20 17:42:37
77,DMM_GAMES,118,2019-08-20 17:42:37
78,MLB,115,2019-08-20 17:42:37
79,Lions,111,2019-08-20 17:42:37
80,CarShop,109,2019-08-20 17:42:37
81,Examination,108,2019-08-20 17:42:37
82,GetMarry,108,2019-08-20 17:42:37
83,TaiwanDrama,108,2019-08-20 17:42:37
84,basketballTW,108,2019-08-20 17:42:37
85,MacShop,105,2019-08-20 17:42:37
86,Hip-Hop,101,2019-08-20 17:42:37
87,DSLR,99,2019-08-20 17:42:37
88,ONE_PIECE,98,2019-08-20 17:42:37
89,BB-Love,96,2019-08-20 17:42:37
90,cat,96,2019-08-20 17:42:37
91,Gov_owned,96,2019-08-20 17:42:37
92,gay,96,2019-08-20 17:42:37
93,job,93,2019-08-20 17:42:37
94,RO,90,2019-08-20 17:42:37
95,Finance,89,2019-08-20 17:42:37
96,FITNESS,89,2019-08-20 17:42:37
97,TW_Entertain,86,2019-08-20 17:42:37
98,MobilePay,85,2019-08-20 17:42:37
99,fastfood,84,2019-08-20 17:42:37
100,Wanted,83,2019-08-20 17:42:37
101,BTS,81,2019-08-20 17:42:37
102,HelpBuy,80,2019-08-20 17:42:37
103,cookclub,80,2019-08-20 17:42:37
104,Shadowverse,79,2019-08-20 17:42:37
105,lesbian,76,2019-08-20 17:42:37
106,KanColle,73,2019-08-20 17:42:37
107,graduate,72,2019-08-20 17:42:37
108,Military,72,2019-08-20 17:42:37
109,nb-shopping,71,2019-08-20 17:42:37
110,DC_SALE,70,2019-08-20 17:42:37
111,E-appliance,70,2019-08-20 17:42:37
112,watch,69,2019-08-20 17:42:37
113,BabyProducts,68,2019-08-20 17:42:37
114,Tennis,66,2019-08-20 17:42:37
115,facelift,65,2019-08-20 17:42:37
116,PublicServan,64,2019-08-20 17:42:37
117,give,64,2019-08-20 17:42:37
118,Chiayi,64,2019-08-20 17:42:37
119,Korea_Travel,63,2019-08-20 17:42:37
120,Nogizaka46,63,2019-08-20 17:42:37
121,PRODUCEX101,62,2019-08-20 17:42:37
122,medstudent,62,2019-08-20 17:42:37
123,studyteacher,61,2019-08-20 17:42:37
124,Bank_Service,61,2019-08-20 17:42:37
125,Palmar_Drama,61,2019-08-20 17:42:37
126,Railway,59,2019-08-20 17:42:37
127,IdolMaster,58,2019-08-20 17:42:37
