,boardNames,pupularities,timestamp
0,Gossiping,15507,2019-08-20 17:42:37
1,C_Chat,2943,2019-08-20 17:42:37
2,Baseball,2465,2019-08-20 17:42:37
3,Stock,2019,2019-08-20 17:42:37
4,NBA,1748,2019-08-20 17:42:37
5,HatePolitics,1650,2019-08-20 17:42:37
6,LoL,1508,2019-08-20 17:42:37
7,Lifeismoney,1476,2019-08-20 17:42:37
8,MobileComm,992,2019-08-20 17:42:37
9,sex,976,2019-08-20 17:42:37
10,KoreaStar,931,2019-08-20 17:42:37
11,car,834,2019-08-20 17:42:37
12,movie,797,2019-08-20 17:42:37
13,Boy-Girl,701,2019-08-20 17:42:37
14,marriage,662,2019-08-20 17:42:37
15,BabyMother,647,2019-08-20 17:42:37
16,Beauty,646,2019-08-20 17:42:37
17,marvel,629,2019-08-20 17:42:37
18,Tech_Job,608,2019-08-20 17:42:37
19,PC_Shopping,596,2019-08-20 17:42:37
20,WomenTalk,564,2019-08-20 17:42:37
21,Japan_Travel,508,2019-08-20 17:42:37
22,joke,501,2019-08-20 17:42:37
23,Kaohsiung,477,2019-08-20 17:42:37
24,creditcard,464,2019-08-20 17:42:37
25,TypeMoon,447,2019-08-20 17:42:37
26,FATE_GO,428,2019-08-20 17:42:37
27,e-shopping,420,2019-08-20 17:42:37
28,PlayStation,405,2019-08-20 17:42:37
29,AllTogether,369,2019-08-20 17:42:37
30,Tainan,368,2019-08-20 17:42:37
31,NSwitch,353,2019-08-20 17:42:37
32,home-sale,335,2019-08-20 17:42:37
33,Hearthstone,329,2019-08-20 17:42:37
34,SportLottery,321,2019-08-20 17:42:37
35,TaichungBun,313,2019-08-20 17:42:37
36,Steam,289,2019-08-20 17:42:37
37,Japandrama,285,2019-08-20 17:42:37
38,MakeUp,276,2019-08-20 17:42:37
39,MH,266,2019-08-20 17:42:37
40,KR_Entertain,254,2019-08-20 17:42:37
41,HardwareSale,248,2019-08-20 17:42:37
42,WOW,240,2019-08-20 17:42:37
43,BeautySalon,239,2019-08-20 17:42:37
44,StupidClown,236,2019-08-20 17:42:37
45,Salary,234,2019-08-20 17:42:37
46,iOS,231,2019-08-20 17:42:37
47,PCReDive,217,2019-08-20 17:42:37
48,KoreaDrama,215,2019-08-20 17:42:37
49,CFantasy,212,2019-08-20 17:42:37
50,CVS,211,2019-08-20 17:42:37
51,Badminton,206,2019-08-20 17:42:37
52,TY_Research,194,2019-08-20 17:42:37
53,MuscleBeach,190,2019-08-20 17:42:37
54,Hsinchu,189,2019-08-20 17:42:37
55,BuyTogether,187,2019-08-20 17:42:37
56,YuanChuang,181,2019-08-20 17:42:37
57,EAseries,181,2019-08-20 17:42:37
58,biker,181,2019-08-20 17:42:37
59,Elephants,172,2019-08-20 17:42:37
60,ToS,171,2019-08-20 17:42:37
61,Option,169,2019-08-20 17:42:37
62,japanavgirls,169,2019-08-20 17:42:37
63,China-Drama,159,2019-08-20 17:42:37
64,Gamesale,144,2019-08-20 17:42:37
65,mobilesales,140,2019-08-20 17:42:37
66,part-time,139,2019-08-20 17:42:37
67,Food,138,2019-08-20 17:42:37
68,Soft_Job,134,2019-08-20 17:42:37
69,PokemonGO,134,2019-08-20 17:42:37
70,Aviation,132,2019-08-20 17:42:37
71,TWICE,132,2019-08-20 17:42:37
72,PuzzleDragon,130,2019-08-20 17:42:37
73,Headphone,127,2019-08-20 17:42:37
74,AC_In,126,2019-08-20 17:42:37
75,KoreanPop,124,2019-08-20 17:42:37
