,boardNames,pupularities,timestamp
0,Gossiping,15294,2019-08-20 17:37:51
1,C_Chat,2920,2019-08-20 17:37:51
2,Baseball,2459,2019-08-20 17:37:51
3,Stock,2019,2019-08-20 17:37:51
4,NBA,1746,2019-08-20 17:37:51
5,HatePolitics,1723,2019-08-20 17:37:51
6,LoL,1474,2019-08-20 17:37:51
7,Lifeismoney,1472,2019-08-20 17:37:51
8,MobileComm,963,2019-08-20 17:37:51
9,sex,941,2019-08-20 17:37:51
10,KoreaStar,904,2019-08-20 17:37:51
11,movie,818,2019-08-20 17:37:51
12,car,799,2019-08-20 17:37:51
13,Boy-Girl,692,2019-08-20 17:37:51
14,marriage,690,2019-08-20 17:37:51
15,BabyMother,654,2019-08-20 17:37:51
16,Beauty,642,2019-08-20 17:37:51
17,marvel,634,2019-08-20 17:37:51
18,Tech_Job,606,2019-08-20 17:37:51
19,WomenTalk,603,2019-08-20 17:37:51
20,PC_Shopping,594,2019-08-20 17:37:51
21,joke,503,2019-08-20 17:37:51
22,Japan_Travel,492,2019-08-20 17:37:51
23,Kaohsiung,466,2019-08-20 17:37:51
24,creditcard,464,2019-08-20 17:37:51
25,FATE_GO,441,2019-08-20 17:37:51
26,TypeMoon,429,2019-08-20 17:37:51
27,e-shopping,418,2019-08-20 17:37:51
28,PlayStation,408,2019-08-20 17:37:51
29,AllTogether,369,2019-08-20 17:37:51
30,Tainan,359,2019-08-20 17:37:51
31,Hearthstone,350,2019-08-20 17:37:51
32,NSwitch,350,2019-08-20 17:37:51
33,SportLottery,334,2019-08-20 17:37:51
34,home-sale,332,2019-08-20 17:37:51
35,TaichungBun,320,2019-08-20 17:37:51
36,Steam,297,2019-08-20 17:37:51
37,Japandrama,278,2019-08-20 17:37:51
38,MakeUp,270,2019-08-20 17:37:51
39,HardwareSale,267,2019-08-20 17:37:51
40,MH,258,2019-08-20 17:37:51
41,iOS,243,2019-08-20 17:37:51
42,KR_Entertain,240,2019-08-20 17:37:51
43,WOW,240,2019-08-20 17:37:51
44,Salary,239,2019-08-20 17:37:51
45,StupidClown,229,2019-08-20 17:37:51
46,PCReDive,219,2019-08-20 17:37:51
47,BeautySalon,219,2019-08-20 17:37:51
48,KoreaDrama,217,2019-08-20 17:37:51
49,CFantasy,216,2019-08-20 17:37:51
50,TY_Research,207,2019-08-20 17:37:51
51,CVS,203,2019-08-20 17:37:51
52,BuyTogether,201,2019-08-20 17:37:51
53,Badminton,201,2019-08-20 17:37:51
54,biker,200,2019-08-20 17:37:51
55,MuscleBeach,191,2019-08-20 17:37:51
56,Hsinchu,188,2019-08-20 17:37:51
57,YuanChuang,179,2019-08-20 17:37:51
58,japanavgirls,177,2019-08-20 17:37:51
59,EAseries,176,2019-08-20 17:37:51
60,Elephants,173,2019-08-20 17:37:51
61,ToS,168,2019-08-20 17:37:51
62,Option,159,2019-08-20 17:37:51
63,China-Drama,156,2019-08-20 17:37:51
64,Gamesale,153,2019-08-20 17:37:51
65,PokemonGO,151,2019-08-20 17:37:51
66,Soft_Job,144,2019-08-20 17:37:51
67,part-time,143,2019-08-20 17:37:51
68,Food,140,2019-08-20 17:37:51
69,mobilesales,138,2019-08-20 17:37:51
70,AC_In,138,2019-08-20 17:37:51
71,PuzzleDragon,137,2019-08-20 17:37:51
72,Headphone,137,2019-08-20 17:37:51
73,MLB,135,2019-08-20 17:37:51
74,Aviation,131,2019-08-20 17:37:51
75,TWICE,131,2019-08-20 17:37:51
76,KoreanPop,125,2019-08-20 17:37:51
77,forsale,120,2019-08-20 17:37:51
78,basketballTW,114,2019-08-20 17:37:51
79,Hip-Hop,111,2019-08-20 17:37:51
80,cat,110,2019-08-20 17:37:51
