,boardNames,pupularities,timestamp
81,DMM_GAMES,110,2019-08-20 17:37:51
82,Lions,109,2019-08-20 17:37:51
83,gay,108,2019-08-20 17:37:51
84,TaiwanDrama,106,2019-08-20 17:37:51
85,GetMarry,104,2019-08-20 17:37:51
86,Examination,103,2019-08-20 17:37:51
87,DSLR,99,2019-08-20 17:37:51
88,Gov_owned,99,2019-08-20 17:37:51
89,CarShop,97,2019-08-20 17:37:51
90,RO,96,2019-08-20 17:37:51
91,ONE_PIECE,96,2019-08-20 17:37:51
92,job,93,2019-08-20 17:37:51
93,TW_Entertain,92,2019-08-20 17:37:51
94,BB-Love,91,2019-08-20 17:37:51
95,MacShop,90,2019-08-20 17:37:51
96,Wanted,86,2019-08-20 17:37:51
97,FITNESS,83,2019-08-20 17:37:51
98,Finance,82,2019-08-20 17:37:51
99,MobilePay,82,2019-08-20 17:37:51
100,cookclub,82,2019-08-20 17:37:51
101,Military,82,2019-08-20 17:37:51
102,HelpBuy,81,2019-08-20 17:37:51
103,BTS,78,2019-08-20 17:37:51
104,lesbian,77,2019-08-20 17:37:51
105,watch,75,2019-08-20 17:37:51
106,fastfood,74,2019-08-20 17:37:51
107,Shadowverse,72,2019-08-20 17:37:51
108,Tennis,72,2019-08-20 17:37:51
109,give,71,2019-08-20 17:37:51
110,facelift,71,2019-08-20 17:37:51
111,KanColle,70,2019-08-20 17:37:51
112,nb-shopping,69,2019-08-20 17:37:51
113,DC_SALE,68,2019-08-20 17:37:51
114,BabyProducts,68,2019-08-20 17:37:51
115,Korea_Travel,67,2019-08-20 17:37:51
116,E-appliance,67,2019-08-20 17:37:51
117,PublicServan,66,2019-08-20 17:37:51
118,graduate,66,2019-08-20 17:37:51
119,Nogizaka46,65,2019-08-20 17:37:51
120,PRODUCEX101,63,2019-08-20 17:37:51
121,IdolMaster,63,2019-08-20 17:37:51
122,Guardians,62,2019-08-20 17:37:51
123,RealmOfValor,61,2019-08-20 17:37:51
124,PathofExile,60,2019-08-20 17:37:51
125,Palmar_Drama,60,2019-08-20 17:37:51
126,Chiayi,57,2019-08-20 17:37:51
127,studyteacher,57,2019-08-20 17:37:51
